10/18/2022,Philadelphia 76ers,Boston Celtics
10/18/2022,Los Angeles Lakers,Golden State Warriors
10/19/2022,Orlando Magic,Detroit Pistons
10/19/2022,Washington Wizards,Indiana Pacers
10/19/2022,Houston Rockets,Atlanta Hawks
10/19/2022,New Orleans Pelicans,Brooklyn Nets
10/19/2022,New York Knicks,Memphis Grizzlies
10/19/2022,Chicago Bulls,Miami Heat
10/19/2022,Cleveland Cavaliers,Toronto Raptors
10/19/2022,Oklahoma City Thunder,Minnesota Timberwolves
10/19/2022,Charlotte Hornets,San Antonio Spurs
10/19/2022,Denver Nuggets,Utah Jazz
10/19/2022,Dallas Mavericks,Phoenix Suns
10/19/2022,Portland Trail Blazers,Sacramento Kings
10/20/2022,Milwaukee Bucks,Philadelphia 76ers
10/20/2022,Los Angeles Clippers,Los Angeles Lakers
10/21/2022,New Orleans Pelicans,Charlotte Hornets
10/21/2022,San Antonio Spurs,Indiana Pacers
10/21/2022,Chicago Bulls,Washington Wizards
10/21/2022,Orlando Magic,Atlanta Hawks
10/21/2022,Toronto Raptors,Brooklyn Nets
10/21/2022,Boston Celtics,Miami Heat
10/21/2022,Detroit Pistons,New York Knicks
10/21/2022,Memphis Grizzlies,Houston Rockets
10/21/2022,Utah Jazz,Minnesota Timberwolves
10/21/2022,Denver Nuggets,Golden State Warriors
10/21/2022,Phoenix Suns,Portland Trail Blazers
10/22/2022,San Antonio Spurs,Philadelphia 76ers
10/22/2022,Detroit Pistons,Indiana Pacers
10/22/2022,Boston Celtics,Orlando Magic
10/22/2022,Cleveland Cavaliers,Chicago Bulls
10/22/2022,Toronto Raptors,Miami Heat
10/22/2022,Houston Rockets,Milwaukee Bucks
10/22/2022,Memphis Grizzlies,Dallas Mavericks
10/22/2022,Oklahoma City Thunder,Denver Nuggets
10/22/2022,Los Angeles Clippers,Sacramento Kings
10/23/2022,Portland Trail Blazers,Los Angeles Lakers
10/23/2022,Charlotte Hornets,Atlanta Hawks
10/23/2022,Washington Wizards,Cleveland Cavaliers
10/23/2022,Utah Jazz,New Orleans Pelicans
10/23/2022,Minnesota Timberwolves,Oklahoma City Thunder
